RT,Key Peaks,Compound,Category,BL3_5,BL3_8,BL3_11,BL3_14,BL3_17,BL3_20 ,BL3_23,BL3_26,BL3_29,BL3_32,BL3_35,BL3_38,BL3_41,BL3_44,BL3_47,BL3_50 
10.5,"69,85,196,252",,Unknown,0,0.036147648,0,0,0,0.025466479,0,0,0,0,0,0,0,0,0,0
10.56,"69,70,278",,Unknown,0,0.026741665,0,0,0,0.016235847,0,0,0,0,0,0,0,0,0,0
10.69,"71,85,240",n-C17,Short_Saturated_Alkane,0.091366516,0.11185711,0.094762889,0.021594584,0.093554808,0.05808668,0,0,0,0.032503292,0,0,0.049794012,0.143444108,0,0
10.73,"71,85,183,268",iso-C19 ,Isoprenoid_Alkane,0.059146421,0.07399773,0.045101388,0,0.02159665,0.034660438,0,0,0,0,0,0,0,0,0,0
10.96,"69,70,111,126,266,282",iso-C20:1,Isoprenoid_Alkane,0.08509697,0.074888239,0.066349481,0.007010424,0.026834345,0.029804571,0,0,0,0,0,0,0.017733026,0,0,0
11.07,"71,85,112,254",br-C18 ,Branched_Alkane,0.09718568,0.149915348,0.101809094,0.01620591,0.060787986,0.058438339,0,0,0,0,0,0,0.04954759,0,0,0
11.17,"71,85",,Unknown,0,0.023841887,0.023316035,0,0.010682868,0.014753688,0,0,0,0,0,0,0,0,0,0
11.24,"71,83,112,266,282",,Unknown,0,0.039226187,0.0437035,0.013323721,0.017273364,0.027222049,0,0,0,0,0,0,0,0,0,0
11.39,"71,85,112,183,296",br-C21,Branched_Alkane,0,0.03385014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.43,"69,83,97,252",C18:1,Alkene,0,0.03897904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.48,"71,85,254",n-C18 ,Short_Saturated_Alkane,0.270142418,0.176773688,0.299629952,0.038238652,0.158898391,0.117851409,0,0,0,0,0,0,0.065225062,0,0.063679481,0
11.53,?,?,Unknown,0.300742803,0.23691589,0.337255835,0.07514392,0.132231426,0.116409917,0.316900907,0,0.082102986,0.156385196,0.047752806,0.052302013,0.07601118,0,0,0
11.63,"71,85,97,113,127,268",iso-C19 ,Isoprenoid_Alkane,0,0.061262461,0.065099594,0.018220197,0.032724037,0.042621504,0,0,0,0,0,0,0,0,0,0
11.71,"70,83,111,280",iso-C20:1,Isoprenoid_Alkane,0.172942847,0.202916681,0.367550156,0.115014325,0.19193128,0.178583063,0.191352614,0.086902748,0.129985831,0.137741232,0,0,0.049526547,0,0,0
11.83,"69,83,280",C20:1 ,Alkene,0.150087559,0.677980596,0.969026001,0.105388609,0.704884714,0.434981639,0,0,0,0,0,0,0,0,0.024432982,0
11.88,"67,81,278",C20:2,Dialkene,0.996427488,1.481287515,1.30476636,0.208469563,0.475355702,0.360272778,0.142429968,0.043938249,0.038646317,0.038896278,0,0.017625362,0.033440031,0,0.038877414,0
11.93,"69,83,280",C20:1 ,Alkene,0.231832436,0.578199796,0.93188568,0.15285495,0.64926745,0.479854159,0,0,0,0,0,0,0,0,0.027955227,0
12.08,"67,81,95,123,278",iso-C20:2,Isoprenoid_Alkane,0.475907002,0.901414977,0.708978366,0.132373452,0.443526509,0.254362514,0,0,0,0,0,0,0,0,0.035108778,0
12.18,"69,91,159,282",?,Unknown,0.071524375,0,0,0,0,0,0,0,0,0,0,0,0.016005667,0,0,0
12.23,"67,81,278",iso-C20:2,Isoprenoid_Alkane,0.952262843,1.980426066,1.507246167,0.293554401,1.087537129,0.605456038,0.234680055,0.046880693,0.035738598,0.052318277,0,0.023398448,0.037931756,0.041940773,0.062069822,0
12.34,"71,85,268",n-C19 ,Short_Saturated_Alkane,0.482439245,0.633732886,0.541898363,0.116349417,0.184703515,0.217762779,0.326754871,0.067535015,0.065755429,0.087179006,0.047283352,0.056090478,0.077543062,0.073150478,0.040274564,0.028596562
12.42,"67,82,95,278",iso-C20:2,Isoprenoid_Alkane,0.168190834,0.251892578,0.241590755,0.041758929,0.154107688,0.108457565,0,0,0,0.032469855,0,0,0.02120288,0,0.013088983,0
12.65,,,Unknown,0,0,0.17777957,0,0,0,0,0,0,0,0,0,0,0,0,0
