RT,Compound,Category,BL3_5,BL3_8,BL3_11,BL3_14,BL3_17,BL3_20,BL3_23,BL3_26,BL3_29,BL3_32,BL3_35,BL3_38,BL3_41,BL3_44,BL3_47,BL3_50
9.13,n-C12 FAME ,Short_Saturated ,1.733505812,1.449720612,2.150979368,2.207214555,1.79836653,1.869431032,1.348936676,1.152387158,0.424766933,0.233142482,0.974268885,0.793494556,0.737820726,0.872636829,0.713320595,0.581095978
9.35,C9 Dimethyl Ester,Dimethyl Ester ,0,0.474132898,0.50835887,0.501449484,0.380830165,0.417046407,0,0.222102789,0,0,0,0,0,0,0,0
10.04,n-C13 FAME,Short_Saturated ,0,0,0.257011914,0.289068086,0.231350297,0.260538048,0,0,0,0,0,0,0,0,0,0
10.19,hydroxy-C12?,Hydroxy,0,0,0,0,0,0.519852048,0.577968227,0.197221409,0,0,0.299266835,0,0,0,0,0
10.26,C10 Dimethyl Ester ,Dimethyl Ester ,0,0,0.411363023,0.330137788,0.295104116,0,0,0,0,0,0,0,0,0,0,0
10.39,iso-C16 FAME,Isoprenoid,0,0,0.282997323,0.289259488,0.228079789,0.307891416,0.396407146,0.28498423,0,0,0.34042676,0.296537886,0,0.388910983,0.277276778,0.256839755
10.58,i-C14 FAME ,Branched ,0.490300888,0.600079851,0.379873202,0.250597883,0.245890744,0.247847359,0,0.225131793,0,0,0,0,0,0,0,0
10.65,i-C14 FAME ,Branched ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.76,C11 Dimethoxy ,Dimethoxy ,0,0,0.312352421,0.197493631,0.266685475,0.307498887,0,0,0,0.319659043,0,0,0.365263349,0,0,0
10.91,n-C14 FAME,Short_Saturated ,1.803498893,1.593042424,1.712586508,1.44376174,1.777437893,1.559458414,1.284438643,0.949835389,0.653219456,0.321026392,1.055308078,0.77665614,0.644470659,0.933391908,0.890954372,0.673466884
10.95,Unknown,Unknown,0,0,0,0,0.320857736,0.282498821,0,0,0,0,0,0,0,0,0,0
11.13,C11 Dimethyl Ester ,Dimethyl Ester ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.17,C14 Acid,Fatty Acid,0,0,0,0,0.325340677,0,0,0,0,0.30450438,0,0,0,0,0,0
11.34,iso-C16 FAME,Isoprenoid,0.66753751,0.623065425,1.053450867,0.836942061,1.339256654,1.238398865,1.068277924,0.74952959,0.506978269,0.486367628,1.800087076,1.31460108,1.058782515,1.411342692,1.203761564,0.94204981
11.44,n-C15 FAME,Short_Saturated ,2.578384742,2.16215815,2.453679661,1.187249702,1.595921011,1.543774894,1.166140902,1.019869176,0.752438199,0.46219751,1.237110458,0.868499691,0.647817692,1.026109992,0.903082488,0.557901323
11.52,a-C15 FAME,Branched ,2.450149655,1.372718338,1.359427344,0.795790754,1.005839407,0.871524021,0.628421329,0.523238525,0.349898149,0.213011661,0.532988538,0.384325458,0.390224999,0.522226259,0.433926566,0.289444096
11.65,C14 Dimethoxy,Dimethoxy ,0,0,0,0,0,0.285922632,0,0,0.196422389,0.313508161,0,0,0.326170056,0,0.405738298,0.426359118
11.76,n-C15 FAME,Short_Saturated ,0.933905802,0,0,2.312865176,2.223554519,0,0.789434759,0.525389003,0.660884423,0,0.772921426,0.641944233,0.767173516,0.696294633,0.710642027,0.631302988
11.83,iso-C20:1 ,Isoprenoid,0,0,0,0,0.237870938,0,0,0,0,0,0,0,0,0,0,0
11.87,iso-C20:2 ,Isoprenoid,0,0.360752768,0.374896297,0.338006019,0.479350061,0.328182741,0,0,0,0,0,0,0,0,0,0
11.95,C12 Dimethyl Ester ,Dimethyl Ester ,0.522237015,0.753965137,0.941721898,0.742962476,1.033183889,0.875398037,0.722888311,0.62090004,0.544425588,0.616747342,0.816870545,0.654929469,0.685992023,0.74019488,0.650161825,0.485548759
12.04,C16 Diacid ,Diacid ,0,0,0,0.189683266,0,0,0,0,0,0,0,0,0,0,0,0
12.11,br-C17 FAME,Branched ,0.667580036,0.670818815,0.758156829,0.699987663,1.117059997,0.909812381,0.747332889,0.629820896,0.36889936,0.303976119,1.079375004,0.977260949,0.716483393,1.051798514,0.751348097,0.723375762
12.17,Nitrogen Compound,Nitrogen Compound ,0,0,0,0,0,0,0.240433616,0.158079264,0.086630859,0,0.293903144,0.234957131,0.144345694,0.198145004,0.294290748,0.266684551
12.26,a-C16 FAME,Branched ,0.612803966,1.122157764,1.110098671,0.796633514,1.170535074,1.225926069,0.769472706,0.808568435,0.268616039,0,0.477833674,0.732168442,0.339917674,0.622145004,1.004527614,0.582549572
12.42,C16:1 FAME,MUFA,3.593024685,2.362127145,1.651021782,1.305526881,1.259653894,0.698569515,0.389485807,0.458191327,0.43634955,0,0.66058713,0.463240192,0.561654911,0,0,0
12.55,n-C16 FAME,Short_Saturated ,12.09161441,12.4473735,14.91776333,18.25727919,21.99709496,16.52955199,10.21744328,8.353936487,5.543161334,4.644499144,16.80869628,17.09596052,15.98877038,20.10609017,10.15125119,7.626558379
12.81,C13 Dimethyl Ester,Dimethyl Ester ,1.391751127,1.115669328,1.258968305,1.424710621,2.18817131,1.386632081,0,0,1.327202761,3.6097954,0,0,4.817750547,0,0,0
12.89,a-C17 FAME,Branched ,2.184360032,0.901739876,0,0,0,0.841288104,0.605564213,0,0,0,0,0,0,0.687889017,0,0.319890606
12.94,br-C17 FAME,Branched ,0,0,0,0,0,0,0,0,0,0.565843144,0,0,0,0,0,0
13.04,iso-C20 FAME,Isoprenoid ,0,0,0,0,0.88784783,0.951521347,0.952473087,0.876081236,0.552213742,0,1.624396064,1.451798417,0.961974992,1.918094798,1.522478768,1.069456846
13.11,br-C17 FAME,Branched ,0,0,0,0,0.454415888,0.476098729,0.499420559,0,0.287457562,0,0.488318108,0.560923745,0.531213844,0.736373906,0.65103264,0.389316643
13.32,n-C17 FAME,Short_Saturated ,0,1.32838739,3.679432724,3.027402315,4.369673517,2.29593818,1.705739561,0.971305796,0.697525704,0,1.536326443,1.460033887,1.259782381,1.625991082,1.356441331,1.109000405
13.41,n-C17 FAME ,Short_Saturated ,0,0,0,0,1.391792933,0.980792765,0.32218208,0,0,0,0,0,0,0,0,0
13.53,C16 Dimethyl Ester ,Dimethyl Ester ,0,0,0,0,0,0.703637139,0.422013512,0,0.293986472,0,0,0,0,0,0,0.35938582
13.64,Unknown,Unknown,0,0.868564697,1.63914672,1.184844572,2.181302804,0.91492807,0.282262678,0,0.366028039,0,0,0,0,0,0,0
13.7,PAH?,PAH,0,0,0,0,0,0.331223636,0.356671184,0.497409865,0.182630011,0,0,0,0,0,0,0
13.74,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.84,iso-C20 FAME,Isoprenoid ,0,0,0,0,0.847345626,0.915743568,0.707712165,0.747971161,0,0,1.632017854,1.150140237,0.579213336,1.638789761,1.825970058,1.076025415
13.92,C19:1 FAME,MUFA,4.447470632,6.910992652,9.260674924,9.06677168,8.789595267,4.520980889,0,0,0,0,0,0,0,0,0,0
13.93,C19:1 FAME,MUFA,4.582005764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.94,C18:1 FAME,MUFA,0,3.110631651,0,0,0,0,2.192794371,2.136635931,1.540996034,1.521246486,4.14321961,3.762914153,2.948310083,3.791817671,2.442381085,1.580322636
14.06,n-C18 FAME,Short_Saturated ,3.40443492,2.5695226,4.332672293,5.048329867,6.346376662,4.439746697,3.619269795,2.862042348,2.056145706,2.58857252,8.428573264,7.331037576,5.717087686,7.945795541,6.035913231,4.494835115
14.38,br-C20 FAME,Branched ,0,0,0,0,0,0,0,0,0,0,1.427269122,1.243092322,0,1.220373245,0.803829173,0.785780392
14.56,C18:2 FAME,PUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.71,C19:1 FAME,MUFA,0,0,0,1.149442727,1.643659961,1.258243188,0.587979827,0.766015318,0.382795154,0,1.687470282,1.896629644,1.20440543,2.163381007,1.514383978,0.908609089
14.76,n-C19 FAME,Short_Saturated ,1.140470745,1.338901284,1.045534747,0,0.516319766,0.26792079,0,0,0,0,0,0.657166357,0,0,0,0
14.87,Unknown,Unknown,0,0.896874219,0,0,1.913301557,0,0,0,0,0,0,0,0,0,0,0
