RT,Compound,Category,LCL4A_6-9,LCL4A_12-15,LCL4A_15-18,LCL4A_27-30,LCL4A_30-33,LCL4A_33-36
21.58,br-C14,Branched,0,0,0.5,0,0.5,0.7
22.7,br-C15,Branched,1.9,0.1,0.4,0.4,0.2,0.3
22.85,br-C15,Branched,2,0.1,0,0.3,0.1,0
22.86,br-C15,Branched,0,0,0.3,0,0,0.2
23.29,n-C15,Short_Saturated,0,0,1.2,1.8,0,0
23.33,n-C15,Short_Saturated,0,0,0,0,0.7,0.6
23.34,n-C15,Short_Saturated,2.4,0.8,0,0,0,0
24.09,n-C17,Short_Saturated,0.3,0.1,0,0,0,0.3
24.41,n-C16,Short_Saturated,0.5,0.1,0,0,0,0
24.73,C16:1,MUFA,0.6,0,0.4,0.8,0.6,0
24.74,C16:1,MUFA,0,0,0,0,0,0.6
24.79,C16:1,MUFA,0.1,0,0,0,0,0
25.02,n-C16,Short_Saturated,10.8,2.5,3.3,5.1,2.9,4.9
27.85,C18:1,MUFA,1.9,0,1,1.3,0.6,0.7
27.93,C18:1,MUFA,1,0,0.6,0,0.3,0.4
28.18,n-C18,Short_Saturated,2.5,1.6,2,3.4,1.5,2.6
31.08,n-C20,Short_Saturated,0,0.9,0.8,1.6,0.9,1.4
31.09,n-C20,Short_Saturated,1.3,0,0,0,0,0
33.77,n-C22,Short_Saturated,1.8,0,0,0,0,0
36.25,n-C23,Short_Saturated,0,3,4.5,7.7,0,0
36.26,n-C23,Short_Saturated,4.6,0,0,0,6.8,11.4
37.43,n-C24,Long_Saturated,0,1.1,0,2.9,2.3,0
37.44,n-C24,Long_Saturated,1.4,0,1.4,0,0,3.5
37.49,n-C24,Long_Saturated,0,0,0.6,0.8,0,0
38.61,n-C25,Long_Saturated,0,3,5,10.4,6.5,0
38.62,n-C25,Long_Saturated,5.2,0,0,0,0,11.1
39.86,n-C26,Long_Saturated,0,1,1.3,2.7,1.7,2.9
39.87,n-C26,Long_Saturated,1.4,0,0,0,0,0
41.23,n-C27,Long_Saturated,0,2.1,3.6,7.6,4.3,7.5
41.24,n-C27,Long_Saturated,3.2,0,0,0,0,0
