Apex RT,Compound,Category,LCL4A_6-9,LCL4A_12-15,LCL4A_15-18,LCL4A_27-30,LCL4A_30-33,LCL4A_33-36
21.58,br-C14,Branched,0,0,0.444483536,0,0.406563982,0.440279381
22.7,br-C15,Branched,1.389381517,0.055596896,0.339384508,0.260264405,0.168712461,0.17792442
22.85,br-C15,Branched,1.452865277,0.045948655,0,0.180381186,0.118591596,0
22.86,br-C15,Branched,0,0,0.263491222,0,0,0.124668407
23.29,n-C15,Short_Saturated,0,0,0.998614761,1.272995781,0,0
23.33,n-C15,Short_Saturated,0,0,0,0,0.592287809,0.353159565
23.34,n-C15,Short_Saturated,1.719998673,0.47153074,0,0,0,0
24.09,n-C17,Short_Saturated,0.223243806,0.063531833,0,0,0,0.166409712
24.41,n-C16,Short_Saturated,0.333382698,0.056756314,0,0,0,0
24.73,C16:1,MUFA,0.467960406,0,0.360524371,0.587087332,0.506522976,0
24.74,C16:1,MUFA,0,0,0,0,0,0.382839272
24.79,C16:1,MUFA,0.073686,0,0,0,0,0
25.02,n-C16,Short_Saturated,7.879549855,1.532096182,2.856700648,3.620755858,2.544851578,2.965507621
27.85,C18:1,MUFA,1.372371658,0,0.851922369,0.907553136,0.567701674,0.404281434
27.93,C18:1,MUFA,0.765017631,0,0.523706992,0,0.297714878,0.266570153
28.18,n-C18,Short_Saturated,1.831329154,0.997098436,1.723705113,2.359839907,1.330185059,1.596844148
31.08,n-C20,Short_Saturated,0,0.560095731,0.688196825,1.130841461,0.793808042,0.823657353
31.09,n-C20,Short_Saturated,0.935487413,0,0,0,0,0
33.77,n-C22,Short_Saturated,1.344915297,0,0,0,0,0
36.25,n-C23,Long_Saturated,0,1.840413863,3.888837286,5.397863294,0,0
36.26,n-C23,Long_Saturated,3.386877487,0,0,0,6.023692516,6.925800395
37.43,n-C24,Long_Saturated,0,0.671926225,0,2.010170754,2.037974792,0
37.44,n-C24,Long_Saturated,1.035089405,0,1.195503711,0,0,2.147108662
37.49,n-C24,Long_Saturated,0,0,0.549379422,0.535843024,0,0
38.61,n-C25,Long_Saturated,0,1.84264078,4.294415549,7.34425554,5.75770024,0
38.62,n-C25,Long_Saturated,3.765537535,0,0,0,0,6.765193665
39.86,n-C26,Long_Saturated,0,0.615474547,1.11576495,1.911947118,1.480997198,1.782013544
39.87,n-C26,Long_Saturated,1.02973432,0,0,0,0,0
41.23,n-C27,Long_Saturated,0,1.274768728,3.101540485,5.321152998,3.865317013,4.603273917
41.24,n-C27,Long_Saturated,2.336616065,0,0,0,0,0
28.99,n-C22:0,Short_Saturated_Alkane,0,0,0.041270558,0,0,0
29.02,n-C22:0,Short_Saturated_Alkane,0,0.032876103,0,0,0,0
30.42,n-C23:0,Short_Saturated_Alkane,0,0,0.071390732,0,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0.038058809,0,0,0,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0,0.050824417,0,0,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0,0,0,0.04501685,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0,0,0,0,0.049028169,0
30.45,n-C23:0,Short_Saturated_Alkane,0,0,0,0,0,0.034888564
31.79,n-C24:0,Short_Saturated_Alkane,0.051630887,0,0,0,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0.044476788,0,0,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0,0.056815799,0,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0,0,0.045520579,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0.033772688,0
31.8,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0,0.019534659
31.91,n-C24:0,Short_Saturated_Alkane,0,0,0.069511749,0,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0.028103741,0,0,0,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0.037863343,0,0,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0,0,0.057982004,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0.035577695,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0,0.021085781
33.1,n-C25:0,Short_Saturated_Alkane,0,0,0,0.15107165,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0.143448657,0,0,0,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0,0.143535725,0,0,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0,0,0.190350419,0,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0,0,0,0,0.133227795,0
33.13,n-C25:0,Short_Saturated_Alkane,0,0,0,0,0,0.057032196
33.92,n-C25:0,Short_Saturated_Alkane,0,0.030541589,0,0,0,0
33.94,n-C25:0,Short_Saturated_Alkane,0,0,0.036888613,0,0,0
34.05,br-C26:0,Branched_Alkane,0.04152555,0,0,0,0,0
34.05,br-C26:0,Branched_Alkane,0,0,0.091594902,0,0,0
34.05,br-C26:0,Branched_Alkane,0,0,0,0.06805059,0,0
34.05,br-C26:0,Branched_Alkane,0,0,0,0,0.061099956,0
34.06,br-C26:0,Branched_Alkane,0,0.039693738,0,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0.031568185,0,0,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0.0280758,0,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0,0.031309949,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0,0,0.035811311,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0,0,0,0.030512707,0
34.5,n-C29:0,Short_Saturated_Alkane,0,0.042991163,0,0,0,0
34.5,n-C29:0,Short_Saturated_Alkane,0,0,0,0.081533349,0,0
34.5,n-C29:0,Short_Saturated_Alkane,0,0,0,0,0.050460557,0
34.51,n-C29:0,Short_Saturated_Alkane,0.040213989,0,0,0,0,0
34.51,n-C29:0,Short_Saturated_Alkane,0,0,0.071525407,0,0,0
35.6,n-C31:0,Short_Saturated_Alkane,0,0,0.120890755,0,0,0
35.61,n-C31:0,Short_Saturated_Alkane,0.114757287,0,0,0,0,0
35.61,n-C31:0,Short_Saturated_Alkane,0,0.10116284,0,0,0,0
