Sample,Depth,Age,TOC,TLE,Fatty Acids,Alkanes,Shannon,Simpson,Magnesite,Dolomite,Trona,Nahcolite,Aragonite,Hexahydrite,Epsomite,Gypsum,Blodite,Loweite,Quartz,Plagioclase,Augite,Amphibole,Chlorite,Muscovite,Analcime,Chabazite,Phillipsite,Pyrite,Amorphous and poorly crystalline,Br/LCFA,Auto/Allo
SL_2,2,992,10.4,6.455255668,13.4842709,0.118546344,3.309389039,0.945408757,14,1.4,0,0,0,41,0,1,4.8,0,4,4.6,0,0,0.3,2,0,0,0,0,26.9,0,1.551780135
SL_8,8,1027,9.28,5.047777178,9.804692305,0.367160814,3.13123972,0.929968898,14.5,1.2,0,0,0,45.2,3.8,0.3,3.7,0,4.7,4.5,0,0,0.3,0.7,0,0,0,0,21.1,0.257241503,0.313604037
SL_14,14,1067,8.12,3.628521776,11.53944386,0.198637031,3.087333276,0.929723418,21.5,1.5,0,0,0,28.5,0,0,3.8,1.2,6.9,5.6,0,0,0.6,1.7,0,0,0,0,28.7,0.255863747,0.468364858
SL_26,26,1557,7.93,4.684231,13.55918,0.121161126,3.152973492,0.933969549,23.5,2,0,0,0,33,0,0,2.9,2.1,6.2,6.2,0,0,0.5,1,0,0,0,0,22.6,0.127988002,0.378994024
SL_29,29,1785,7.38,4.59178,12.20766638,0.146248804,3.105592903,0.930716504,22.3,1.9,0,0,0,31.1,0,0,2,1.4,6.5,6.1,0,0,0.6,1,0,0,0,0,27.1,0.085256991,0.385889907
SL_32,32,2097,5.98,3.572818,13.84914219,0.248376233,2.967938727,0.921330197,22.1,2.2,0,0,0,31.2,0,0,2.5,1.9,6.9,6.4,0,0,0.7,1.4,0,0,0,0,24.7,0.044049472,0.238766041
SL_35,35,2449,6.61,3.117078,11.85235928,0.220817354,2.975144826,0.920354797,19.9,1.6,0,0,0,39.5,0,0,1.4,3.7,6.6,6.3,0,0,0.6,0.9,0,0,0,0,19.5,0.100133393,0.282072451
SL_38,38,2973,5.73,2.92517,11.7977031,0.204138962,2.88163843,0.924629499,24.6,2.9,0,0,0,27.8,0,0.3,2.8,3.4,7.3,8.2,0,0,0.9,0.8,0,0,0,0,21,0.042764422,0.38202838
SL_41,41,3522,5.73,3.382134451,10.55295974,0.321083553,2.829644,0.913595839,24.3,3.2,0,0,0,29.6,0,0.5,2.1,4.4,8.1,7.5,0,0,0.8,1.3,0,0,0,0,18.2,0.065876178,0.247240081
SL_44,44,4158,4.8,4.376101423,8.709419981,0.249825376,2.839619186,0.914721835,24.6,3.1,0,0,0,22.6,0,0.2,3.2,1.8,8.5,7.3,0,0.3,1.2,1.5,0,0,0,0,25.7,0.288930954,0.457053761
SL_47,47,4681,4.54,3.698256773,10.86015228,0.430929679,2.996868709,0.924736854,18.6,3.8,0,0,0,32.7,2.3,0.3,4.4,3.1,7.5,7.7,0,0,1,0.8,0,0,0,0,17.8,0.126964456,0.409032617
SL_50,50,5208,4.63,3.007900753,14.38734807,0.48079452,2.894594013,0.918471604,15.8,3.9,0,0,0,27,0,0.3,3.6,3.2,9.1,9.1,0,0,1,2,0,0,0,0,25,0.082273029,0.329275678
SL_53,53,5346,4.18,2.814017219,11.9120674,0.357622065,2.719616053,0.912076405,15.5,3.4,0,0,0,23.5,0,0.3,2.9,3,9.3,7.5,0,0,1.2,1.9,0,0,0,0,31.5,0.314565036,0.431661224
SL_56,56,5455,4.38,3.0393614,8.930109214,0.383238764,2.463900067,0.884653048,15.1,3.9,0,0,0,24.1,0,0.4,1.7,2.7,9.8,7.8,0,0,1.2,1.9,0,0,0,0,31.4,0.10876047,0.106273352
SL_59,59,5541,5.01,3.731429994,11.49586346,0.482117291,2.738475631,0.908158525,16.1,4.5,0,0,0,27.5,0,0.3,2.1,2.9,10.4,8.6,0,0.3,1.3,2.7,0,0,0,0,23.3,0.097620944,0.306920756
SL_62,62,5640,3.81,3.095185231,13.79217777,,3.021900649,0.921226859,12.7,3.4,0,0,0,21.5,0,0.8,2.7,2.5,9.2,7.4,0,0.3,1.2,2.3,0,0,0,0,36,0.094323957,0.300973745
