RT,Key Peaks ,Compound,Category,SL_2,SL_5,SL_8,SL_11,SL_14,SL_17,SL_20,SL_23 ,SL_26 ,SL_29,SL_32,SL_35 ,SL_38 ,SL_41,SL_44,SL_47,SL_50 ,SL_53,SL_56,SL_59 ,SL_65,SL_68,SL_71,SL_74,SL_77,SL_80,SL_83
10.69,"71, 85, 240",n-C17,Short_Saturated_Alkane,0.051221764,0,0,0,0,0,0,0,0,0,0,0,0,0.046334992,0,0.044688373,0.033675838,0,0.029790912,0.078696948,0,0,0,0,0,0,0
11.07,"71, 168, 2554 ",br-C18 ,Branched_Alkane,0.070055399,0,0,0.041767462,0,0,0,0.041729615,0,0,0.038832563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.39,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.48,,,Unknown,0.046180376,0,0,0,0,0.026078358,0,0.046127238,0.029875704,0.018418498,0.034298726,0.025182819,0.019830975,0.055792306,0,0.057539473,0.071160703,0,0.036910022,0.050511814,0,0,0,0,0,0,0
11.53,"71, 85, 254",n-C18 ,Short_Saturated_Alkane ,0.113976493,0.127369657,0.230165634,0.071226866,0.123538196,0.070063158,0.132393041,0.119624389,0.132959336,0.076380462,0.103016499,0,0.085670855,0.171599122,0.067507239,0.215747844,0.209523605,0.082167061,0.164109115,0.257631869,0,0,0,0,0,0,0
11.63,"71, 85, 163, 282 ",iso-C19 ,Isoprenoid_Alkane,0.074015058,0,0,0.028016073,0,0.024921206,0.066540881,0.053410533,0,0.016740795,0,0.073824169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.83,"70, 111, 280 ",C20:1 ,Alkene,0.162631856,0.048712835,0,0.073538604,0,0.048321285,0,0.086216552,0.055891102,0.075109938,0.079459864,0.039237184,0,0.058689521,0.058872312,0.070406311,0.078255881,0,0.054216385,0.072914996,0,0,0,0,0,0,0
11.88,"68, 95, 278 ",C20:2,Dialkene,0.189303819,0.043889782,0,0.061877937,0.07841189,0.064585561,0.236565228,0.100850011,0.049080168,0.024201479,0.027386104,0.032315809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.93,"70, 125, 280 ",C20:1 ,Alkene,0.214307882,0.070491764,0,0.092786894,0,0.094567995,0,0.118602511,0.061602157,0.079524645,0.086932793,0.030101235,0,0.049503082,0.025922874,0.077527925,0.070025497,0,0.030168319,0.05917765,0,0,0,0,0,0,0
12.08,"82, 95, 278 ",iso-C20:2,Isoprenoid_Alkane,0.15323709,0.057374049,0,0.041273236,0,0.041742138,0.061561348,0.062052742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
