RT,Compound,Category,SL_2,SL_5 ,SL_8,SL_11 ,SL_14,SL_17 ,SL_23,SL_26 ,SL_29 ,SL_32,SL_35 ,SL_38 ,SL_41 ,SL_44,SL_47 ,SL_50,SL_53,SL_56,SL_59 ,SL_62 ,SL_65 ,SL_68 ,SL_71,SL_74,SL_77,SL_80 ,SL_83
9.17,n-C12 FAME ,Saturated ,0.503500812,0.263370089,0.239242458,0.549520345,0.186538557,0.410112944,0.421343338,0.321374142,0.682563103,0.548367774,0.363526645,0.278613296,0.379848805,0.256875631,0.573961566,0.633756545,0,0.458129005,0.575065353,0.234269657,0.272367236,0.260990508,0,0,0,0,0
9.39,C9 Dimethyl Ester,Diacid,0.132952327,0.095284941,0.16257633,0.143075657,0,0.146254432,0.093215233,0,0.10527162,0.093711418,0,0,0,0,0,0,0,0,0,0.136331573,0.180219612,0.157237691,0,0,0,0,0
10.04,n-C13 FAME,Short_Saturated ,0,0,0.052044321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067310534,0,0,0,0,0,0,0
10.26,C10 Dimethyl Ester ,Diacid,0,0,0.051685807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076714278,0,0,0,0,0,0,0
10.65,i-C14 FAME ,Branched ,0.141032857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.96,n-C14 FAME,Short_Saturated ,0.375345536,0.235683536,0.369223103,0.422486321,0.237703944,0.45371603,0.26265034,0.25111355,0.363381219,0.246224674,0.263265441,0.205068454,0.255774635,0.288866461,0.396651784,0.385039983,0.242946203,0.357600464,0.39772175,0.247458931,0.226631069,0.293469416,0.203361885,0.352660197,0.554571221,0,0
11.13,C11 Dimethyl Ester ,Diacid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050435695,0,0,0,0,0,0,0
11.39,iso-C16 FAME,Isoprenoid,0.139059451,0.065664537,0.186238808,0.133557315,0.115544359,0.163533346,0.106399725,0.09339538,0.119337138,0.098899211,0.085264317,0.086111568,0.12512023,0.177302078,0.124812198,0.211108567,0.140759052,0.129562748,0.181289596,0.134062679,0.148518676,0.155560243,0,0.180124232,0,0,0
11.5,n-C15 FAME,Short_Saturated ,0.47645348,0.174443798,0.36774024,0.3202954,0.266416078,0.480927222,0.230169456,0.172436876,0.179280365,0.134019928,0.12431047,0.090632879,0.114377854,0.203978144,0.138612353,0.209481781,0.150452371,0.103431822,0.185082816,0.147162086,0.115616805,0.142310584,0,0.138800139,0,0,0
11.57,a-C15 FAME,Branched ,0.336741613,0.15634964,0.267825347,0.228370819,0.169489519,0.291068805,0.178693647,0.117309346,0.13183242,0.077077661,0.104595117,0.028213397,0.112162342,0.137120715,0.172648615,0.188737713,0.100001899,0.140235174,0.214950388,0.128754456,0.132715366,0.121208716,0,0.191122784,0,0,0
11.65,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100939042,0.075667766,0,0,0,0,0,0
11.8,n-C15 FAME,Short_Saturated ,0.353444608,0.126721382,0.26797526,0.28110871,0,0.324015544,0.191996974,0.159226994,0.279935432,0.225814949,0.154411715,0.138618119,0.198592154,0,0.205935779,0.279630585,0,0.212376238,0.360539745,0.31348608,0.283225961,0.29176,0.283418402,0.462300103,0.741919867,0,0
12,C12 Dimethyl Ester ,Diacid,0.283002853,0.072129782,0.122477426,0.216751349,0.128866182,0.185313791,0.111328899,0.121636897,0.164200504,0.175214624,0.109100836,0.074743551,0.089817537,0.173620259,0.129093054,0.175658606,0.154151189,0.155693674,0.237248909,0.285768612,0.284543846,0.282947085,0,0,0,0,0
12.16,br-C17 FAME,Branched ,0.265173633,0.079750176,0.190905877,0.135932436,0.12017333,0.183478255,0.15966182,0.140478728,0.153363448,0.107516628,0.119926844,0.077468514,0.085463863,0.171534656,0.128291572,0.155007316,0.197387213,0.121152473,0.144986963,0.140688618,0.114664859,0.175139452,0,0,0,0,0
12.32,a-C16 FAME,Branched ,0.168499412,0.098771147,0.103776613,0.206915644,0.123683364,0.279086867,0.156991773,0,0.130118687,0,0.086040006,0,0.1382807,0,0.213740012,0.263015759,0,0.219859815,0.404282257,0.073194311,0,0,0,0,0,0,0
12.48,C16:1 FAME,MUFA,0.733931744,0.201668628,0,0.51187557,0.163647428,1.126174257,0.245850745,0.148257155,0.27674562,0.116985941,0.169003577,0,0.124151519,0,0.1343074,0.164198659,0,0,0,0.138372266,0,0,0,0,0,0,0
12.61,n-C16 FAME,Short_Saturated ,3.718630996,1.675813481,2.627395673,2.716416461,2.026367786,3.949532243,2.226486665,1.801029474,1.962174132,1.726454664,1.625082644,1.650367103,2.089987041,2.33138271,3.358412105,3.761302777,2.265155006,3.646370696,4.232349438,2.712893903,2.991873421,3.878031141,2.119445147,3.979549023,5.88688959,7.763523609,5.94980916
12.81,C13 Dimethyl Ester,Diacid,0.062425854,0,0,0.101403126,0,0,0,0,0,0.095447541,0,0,0,0,0.093352203,0,0,0,0,0.175308695,0.08126878,0.184813806,0,0,0,0,0
12.98,br-C17 FAME,Branched ,0.147252211,0,0.118487292,0.217623333,0.251571179,0,0.166706892,0.098877941,0,0,0,0,0,0.527619879,0,0,0.761013257,0,0,0,0,0,0,0,0,0,0
13.07,iso-C20 FAME,Isoprenoid ,0,0,0.168432246,0,0.144545365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134418109,0,0,0,0,0,0,0
13.13,br-C17 FAME,Branched ,0.161507989,0.088271015,0.093398894,0,0.104660723,0,0.091267581,0.065968423,0,0,0.081528438,0,0,0,0.105989424,0,0,0,0,0.10244659,0,0,0,0,0,0,0
13.21,n-C17 FAME,Short_Saturated ,0.083613229,0.066563298,0.213935582,0,0.163383156,0,0.073059473,0.053550301,0,0,0,0,0,0.318645618,0.116092285,0,0,0,0,0.219190143,0.222573038,0.233453091,0,0,0,0,0
13.41,n-C17 FAME ,Short_Saturated ,0.221335095,0.08956081,0,0.247339132,0,0,0.150456443,0.131236293,0.219787857,0.208782922,0.125814326,0.101885998,0.167868737,0,0.245629559,0.235525613,0,0.199853216,0.279289813,0,0,0,0,0,0,0,0
