RT,Compound,Category,SL_2,SL_5,SL_8,SL_11,SL_14,SL_17,SL_23,SL_26,SL_29,SL_32,SL_35,SL_38,SL_41,SL_44,SL_47,SL_50,SL_53,SL_56,SL_59,SL_62,SL_65,SL_68,SL_71,SL_74,SL_77,SL_80,SL_83
9.17,n-C12 FAME ,Saturated ,1.74546948,0.846295887,0.740056671,1.784109386,0.504897693,1.432661217,0.516460703,1.314591214,1.046608457,1.804241802,1.348984723,0.72462978,0.613877962,0.725511217,0.490632456,0.918338506,0.959084904,0,0.638326414,0.839595415,0.391230327,0.34590639,0.319278388,0,0,0,0
9.39,C9 Dimethyl Ester,Diacid,0.460901399,0.306182279,0.50290278,0.464518966,0,0.510915484,0,0.290831528,0,0.278267982,0.230530089,0,0,0,0,0,0,0,0,0,0.227673728,0.228878907,0.192354109,0,0,0,0
10.04,n-C13 FAME,Short_Saturated ,0,0,0.160990433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112408591,0,0,0,0,0,0
10.26,C10 Dimethyl Ester ,Diacid,0,0,0.159881431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128112844,0,0,0,0,0,0
10.65,i-C14 FAME ,Branched ,0.488913905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.96,n-C14 FAME,Short_Saturated ,1.301197857,0.757329763,1.142130133,1.371672257,0.643385342,1.584981333,1.315742279,0.819469061,0.817793126,0.96053769,0.605712699,0.524775779,0.451834161,0.488529552,0.551734941,0.634642855,0.582693841,0.374946973,0.498256646,0.580673754,0.413256415,0.287821458,0.359010919,0.204717631,0.233931264,0.144188518,0
11.13,C11 Dimethyl Ester ,Diacid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08422761,0,0,0,0,0,0
11.39,iso-C16 FAME,Isoprenoid,0.482072762,0.211002047,0.576098714,0.433616082,0.312740065,0.571276489,0.443651346,0.331967143,0.30415762,0.315447835,0.243292058,0.169960206,0.189732487,0.238979639,0.33864697,0.199699517,0.319477631,0.217238137,0.180524096,0.26468281,0.223884674,0.188618719,0.19030203,0,0.119482407,0,0
11.5,n-C15 FAME,Short_Saturated ,1.651705398,0.560546072,1.137543142,1.0398924,0.721099519,1.680039096,2.081261661,0.718128703,0.561569426,0.473897764,0.329689022,0.247792204,0.199694444,0.218461701,0.389598255,0.221779765,0.317015761,0.23219816,0.144115006,0.270220911,0.245760683,0.146833342,0.174093281,0,0.092070759,0,0
11.57,a-C15 FAME,Branched ,1.167370926,0.50240351,0.828473074,0.741443926,0.458751631,1.016800361,1.212706389,0.557524179,0.382037437,0.34847703,0.189611046,0.208492932,0.062163518,0.214230074,0.261900565,0.276237783,0.285623073,0.154336264,0.195394342,0.313827567,0.215019941,0.168548514,0.148278662,0,0.126778114,0,0
11.65,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168568201,0.096098062,0,0,0,0,0
11.8,n-C15 FAME,Short_Saturated ,1.225274641,0.407198039,0.828936806,0.912666279,0,1.131894302,0,0.59903056,0.518549245,0.739962659,0.555504775,0.307794018,0.305421922,0.379311014,0,0.329497246,0.423174286,0,0.295910892,0.526388028,0.523521754,0.35969697,0.356919734,0.285307858,0.306659068,0.192899165,0
12,C12 Dimethyl Ester ,Diacid,0.981076559,0.231777034,0.378863505,0.703719381,0.348797799,0.647362844,0.498258785,0.347346165,0.396130828,0.434036666,0.431027975,0.217474332,0.164684957,0.171551495,0.331614695,0.206548886,0.265830023,0.237906669,0.216933185,0.346383408,0.477233582,0.361370685,0.3461386,0,0,0,0
12.16,br-C17 FAME,Branched ,0.919268593,0.2562639,0.590535512,0.441327308,0.325269148,0.640950702,0.55059835,0.49814488,0.457492391,0.405390714,0.264490906,0.239054175,0.170688959,0.163235979,0.327631193,0.205266515,0.234577738,0.304634265,0.168805779,0.211680966,0.234949992,0.14562437,0.21425393,0,0,0,0
12.32,a-C16 FAME,Branched ,0.584131295,0.317384619,0.321015657,0.671786125,0.33476964,0.974943456,0.662340383,0.489814332,0,0.343947064,0,0.171506411,0,0.264116137,0,0.341984019,0.398030516,0,0.306338009,0.590252095,0.122234499,0,0,0,0,0,0
12.48,C16:1 FAME,MUFA,2.544296711,0.648028526,0,1.661889349,0.442939038,3.934102069,1.601987691,0.767054326,0.482824136,0.731530922,0.287785416,0.336880463,0,0.237129402,0,0.214891841,0.248487303,0,0,0,0.231081684,0,0,0,0,0,0
12.61,n-C16 FAME,Short_Saturated ,12.89125412,5.384947318,8.127410616,8.819298776,5.484702142,13.79703264,12.01982225,6.946638396,5.865352652,5.186680289,4.247078475,3.239331403,3.63630885,3.991875248,4.452940977,5.373459369,5.69210487,3.495889226,5.080609836,6.17923018,4.530532818,3.799679244,4.744124762,2.133574781,2.639767519,1.530591293,1.940880902
12.81,C13 Dimethyl Ester,Diacid,0.216409628,0,0,0.329222148,0,0,0,0,0,0,0.23480095,0,0,0,0,0.149363525,0,0,0,0,0.292765521,0.10321135,0.226088889,0,0,0,0
12.98,br-C17 FAME,Branched ,0.51047433,0,0.366520689,0.70655042,0.680919324,0,0.707413323,0.520125504,0.322012493,0,0,0,0,0,1.007753968,0,0,1.174497127,0,0,0,0,0,0,0,0,0
13.07,iso-C20 FAME,Isoprenoid ,0,0,0.521017079,0,0.39123612,0,0.556368211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224478242,0,0,0,0,0,0
13.13,br-C17 FAME,Branched ,0.559894362,0.283644194,0.288913911,0,0.283281691,0,0.370698879,0.284754854,0.214837165,0,0,0.162513353,0,0,0,0.169583078,0,0,0,0,0.171085805,0,0,0,0,0,0
13.21,n-C17 FAME,Short_Saturated ,0.289859194,0.213890066,0.661774066,0,0.442223743,0,0.515780509,0.227945555,0.174395481,0,0,0,0,0,0.608613131,0.185747656,0,0,0,0,0.366047538,0.282667758,0.285590948,0,0,0,0
13.41,n-C17 FAME ,Short_Saturated ,0.767294996,0.287788735,0,0.803027716,0,0,0,0.469424103,0.42739286,0.580972568,0.513605989,0.25078989,0.224488816,0.320629287,0,0.393007295,0.35642876,0,0.278462148,0.407763126,0,0,0,0,0,0,0
13.53,Unknown,Unknown,0,0,0,0,0,0,0,0.289065507,0.193948013,0,0,0,0,0,0,0,0,0,0,0,0.192818481,0,0,0,0,0,0
13.74,Unknown,Unknown,0,0.351756009,0,0.6624432,0,0,0,0.481128629,0.35330269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.83,iso-C20 FAME,Isoprenoid ,0,0,0.448603019,0,0.313544772,0,0.212407346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23887732,0.182067594,0.270361928,0,0,0,0
13.97,C18:1 FAME,MUFA,8.901803366,3.488382451,0.69875578,5.094105613,1.353198032,10.68849418,5.287685067,2.325311612,1.66070291,1.181684401,1.129023328,1.000740426,0.973817652,0.212043909,1.317528606,0.247160651,1.17928186,0.905978654,0,0.928145198,0.896127205,0.744488483,0.696338135,0,0,0,0
