Sample ,Lake ,Type ,d18O ,dD 
BL4,Basque Lake 4,Brine ,-3.3,-67.7
BL2-23,Basque Lake 2,Brine ,-6.8,-81
LCL4,Last Chance Lake ,Brine ,-6.4,-75.7
BL1-2_Bottom,Basque Lake 1,Brine ,2.7,-46.5
BL2-4,Basque Lake 2,Brine ,-0.6,-55.8
BL2-1,Basque Lake 2,Brine ,-7.2,-85.7
BL2-1,Basque Lake 2,Brine ,-7.3,-87
BL2-2,Basque Lake 2,Brine ,-5.1,-77.8
BL1-1_Bottom,Basque Lake 1,Brine ,2.1,-56
SLSU ,Salt Lake Spring ,Spring ,-18.3,-142.4
19BL_Bri1,Basque Lake 2,Brine ,-15.7,-131.6
19BL_ICE3,Basque Lake 2,Ice,-14.7,-117.2
19LCL_ICE2,Last Chance Lake ,Ice,-13.4,-114.2
19BL_ICE2,Basque Lake 2,Ice,-15.2,-114.2
19SL_ICE1,Salt Lake  ,Ice,-13.3,-105.7
19SL_ICE2,Salt Lake ,Ice,-13,-106.8
19BL_ICE1,Basque Lake 2,Ice,-14.8,-115.4
2018_SL1,Salt Lake ,Brine ,-8.2,-95.9
19LCL_Bri1,Last Chance Lake ,Brine ,-17.9,-151.9
19SL_Bri1,Salt Lake ,Brine ,-14.4,-129.7
2018_LCL,Last Chance Lake ,Brine ,-8.2,-94.6
2018_BL2-1,Basque Lake 2,Brine ,-2.1,-71
19SL_Bri2,Salt Lake ,Brine ,-14,-127.8
2018_BL2-3,Basque Lake 2,Brine ,-4.9,-73.6
19SL_Bri3,Salt Lake ,Brine ,-13.7,-126.2
