Sample,Lake,Salinity,aw,dD,d18O 
BL4,Basque Lake 4,299.7,0.98,-67.7,-3.3
BL2-23,Basque Lake 2,110.7,0.9801,-81,-6.8
LCL4,Last Chance Lake ,159.7,0.9563,-75.7,-6.4
BL1-2_Bottom,Basque Lake 1,326.7,0.9005,-46.5,2.7
BL2-4,Basque Lake 2,230.7,0.9309,-55.8,-0.6
BL2-1,Basque Lake 2,259.6455,0.90995,-85.7,-7.2
BL2-2,Basque Lake 2,279.042,0.9034,-77.8,-5.1
BL1-1_Bottom,Basque Lake 1,322.35,0.90955,-56,2.1
2018_SL1,Salt Lake ,98.13,0.9883,-95.9,-8.2
2018_LCL,Last Chance Lake ,160.56,,-94.6,-8.2
SLSU ,Salt Lake Spring ,3.3,1,-142.4,-18.3
Precip ,OIPC ,,,-110,-14.3
